Orthogroup	Species	Mycoplasma_genitalium	Orthologs
OG0000068	Mycoplasma_hyopneumoniae	gi|3845060|gb|AAC72485.1|	gi|71852150|gb|AAZ44758.1|
OG0000068	Mycoplasma_agalactiae	gi|3845060|gb|AAC72485.1|	gi|290752324|emb|CBH40295.1|
OG0000068	Mycoplasma_gallisepticum	gi|3845060|gb|AAC72485.1|	gi|284811836|gb|AAP56358.2|
OG0000069	Mycoplasma_hyopneumoniae	gi|3845059|gb|AAC72484.1|	gi|71852149|gb|AAZ44757.1|
OG0000069	Mycoplasma_agalactiae	gi|3845059|gb|AAC72484.1|	gi|290752325|emb|CBH40296.1|
OG0000069	Mycoplasma_gallisepticum	gi|3845059|gb|AAC72484.1|	gi|31541057|gb|AAP56359.1|
OG0000070	Mycoplasma_hyopneumoniae	gi|1045964|gb|AAC71492.1|	gi|144227533|gb|AAZ44337.2|
OG0000070	Mycoplasma_agalactiae	gi|1045964|gb|AAC71492.1|	gi|290752326|emb|CBH40297.1|
OG0000070	Mycoplasma_gallisepticum	gi|1045964|gb|AAC71492.1|	gi|31541531|gb|AAP56831.1|
OG0000071	Mycoplasma_hyopneumoniae	gi|3844641|gb|AAC71247.1|	gi|71852011|gb|AAZ44619.1|
OG0000071	Mycoplasma_agalactiae	gi|3844641|gb|AAC71247.1|	gi|290752330|emb|CBH40301.1|
OG0000071	Mycoplasma_gallisepticum	gi|3844641|gb|AAC71247.1|	gi|284811887|gb|AAP56444.2|
OG0000072	Mycoplasma_hyopneumoniae	gi|3844791|gb|AAC71412.1|	gi|144227545|gb|AAZ44356.2|
OG0000072	Mycoplasma_agalactiae	gi|3844791|gb|AAC71412.1|	gi|290752332|emb|CBH40303.1|
OG0000072	Mycoplasma_gallisepticum	gi|3844791|gb|AAC71412.1|	gi|284812054|gb|AAP56711.2|
OG0000073	Mycoplasma_hyopneumoniae	gi|3844685|gb|AAC71315.1|	gi|144227477|gb|AAZ44218.2|
OG0000073	Mycoplasma_agalactiae	gi|3844685|gb|AAC71315.1|	gi|290752333|emb|CBH40304.1|
OG0000073	Mycoplasma_gallisepticum	gi|3844685|gb|AAC71315.1|	gi|31541659|gb|AAP56959.1|
OG0000074	Mycoplasma_hyopneumoniae	gi|3844792|gb|AAC71413.1|	gi|71851749|gb|AAZ44357.1|
OG0000074	Mycoplasma_agalactiae	gi|3844792|gb|AAC71413.1|	gi|290752334|emb|CBH40305.1|
OG0000074	Mycoplasma_gallisepticum	gi|3844792|gb|AAC71413.1|	gi|284812055|gb|AAP56712.2|
OG0000075	Mycoplasma_hyopneumoniae	gi|3844985|gb|AAC71622.1|	gi|71851701|gb|AAZ44309.1|
OG0000075	Mycoplasma_agalactiae	gi|3844985|gb|AAC71622.1|	gi|290752335|emb|CBH40306.1|
OG0000075	Mycoplasma_gallisepticum	gi|3844985|gb|AAC71622.1|	gi|284812015|gb|AAP56640.2|
OG0000076	Mycoplasma_hyopneumoniae	gi|3844918|gb|AAC71561.1|	gi|71851643|gb|AAZ44251.1|
OG0000076	Mycoplasma_agalactiae	gi|3844918|gb|AAC71561.1|	gi|290752337|emb|CBH40308.1|
OG0000076	Mycoplasma_gallisepticum	gi|3844918|gb|AAC71561.1|	gi|284812009|gb|AAP56629.2|
OG0000077	Mycoplasma_hyopneumoniae	gi|3844944|gb|AAC71585.1|	gi|144227440|gb|AAZ44135.2|
OG0000077	Mycoplasma_agalactiae	gi|3844944|gb|AAC71585.1|	gi|290752339|emb|CBH40310.1|
OG0000077	Mycoplasma_gallisepticum	gi|3844944|gb|AAC71585.1|	gi|284812207|gb|AAP56923.2|
OG0000078	Mycoplasma_hyopneumoniae	gi|84626151|gb|AAC71461.2|	gi|144227652|gb|AAZ44559.2|
OG0000078	Mycoplasma_agalactiae	gi|84626151|gb|AAC71461.2|	gi|290752340|emb|CBH40311.1|
OG0000078	Mycoplasma_gallisepticum	gi|84626151|gb|AAC71461.2|	gi|284812097|gb|AAP56767.2|
OG0000079	Mycoplasma_hyopneumoniae	gi|3844632|gb|AAC71239.1|	gi|71851500|gb|AAZ44108.1|
OG0000079	Mycoplasma_agalactiae	gi|3844632|gb|AAC71239.1|	gi|290752344|emb|CBH40315.1|
OG0000079	Mycoplasma_gallisepticum	gi|3844632|gb|AAC71239.1|	gi|284812255|gb|AAP57011.2|
OG0000080	Mycoplasma_hyopneumoniae	gi|3844668|gb|AAC71299.1|	gi|71851935|gb|AAZ44543.1|
OG0000080	Mycoplasma_agalactiae	gi|3844668|gb|AAC71299.1|	gi|290752346|emb|CBH40317.1|
OG0000080	Mycoplasma_gallisepticum	gi|3844668|gb|AAC71299.1|	gi|31541714|gb|AAP57014.1|
OG0000081	Mycoplasma_hyopneumoniae	gi|3844669|gb|AAC71300.1|	gi|71851934|gb|AAZ44542.1|
OG0000081	Mycoplasma_agalactiae	gi|3844669|gb|AAC71300.1|	gi|290752347|emb|CBH40318.1|
